                              Obs    driver    cartype     mpg    blend    blend1    blend2    blend3
                                1       1         1       15.5     (A)        1         0         0  
                                2       1         2       33.8     (B)        0         1         0  
                                3       1         3       13.7     (C)        0         0         1  
                                4       1         4       29.2     (D)       -1        -1        -1  
                                5       2         1       16.3     (B)        0         1         0  
                                6       2         2       26.4     (C)        0         0         1  
                                7       2         3       19.1     (D)       -1        -1        -1  
                                8       2         4       22.5     (A)        1         0         0  
                                9       3         1       10.5     (C)        0         0         1  
                               10       3         2       31.5     (D)       -1        -1        -1  
                               11       3         3       17.5     (A)        1         0         0  
                               12       3         4       30.1     (B)        0         1         0  
                               13       4         1       14.0     (D)       -1        -1        -1  
                               14       4         2       34.5     (A)        1         0         0  
                               15       4         3       19.7     (B)        0         1         0  
                               16       4         4       21.6     (C)        0         0         1  
